id,full_name,nationality,id_number,passport_number,document_type,legal_status,status,last_visit,timestamp,name,doc_type,doc_number,result,dob,medical_aid,conditions,verified_by,details
1.0,Thabo Mbeki,South African,5801015051087,,RSA ID,Valid,✅ Eligible,2025-06-12,,Unknown,,,,,,,,
2.0,Nkosazana Dlamini-Zuma,South African,5502025052086,,RSA ID,Valid,✅ Eligible,2025-06-12,,Unknown,,,,,,,,
3.0,Tendai Biti,Zimbabwean,,ZW2023AB001,Passport,Valid,🟡 Needs Review,2025-06-18,,Unknown,,,,,,,,
4.0,Cyril Ramaphosa,South African,5711175053085,,RSA ID,Valid,✅ Eligible,2025-06-11,,Unknown,,,,,,,,
5.0,Julius Malema,South African,8103035054084,,RSA ID,Valid,✅ Eligible,2025-07-10,,Unknown,,,,,,,,
6.0,Lindiwe Sisulu,South African,5904045055083,,RSA ID,Valid,✅ Eligible,2025-06-11,,Unknown,,,,,,,,
7.0,Filipe Nyusi,Mozambican,,MZ2023CD002,Passport,Valid,🟡 Needs Review,2025-06-13,,Unknown,,,,,,,,
8.0,Afonso Dhlakama,Mozambican,,MZ2023EF003,Passport,Invalid,🔴 Payment Required,2025-07-03,,Unknown,,,,,,,,
9.0,Patrice Motsepe,South African,6205055056082,,RSA ID,Valid,✅ Eligible,2025-07-03,,Unknown,,,,,,,,
10.0,Charlize Theron,South African,7507075057081,,RSA ID,Valid,✅ Eligible,2025-06-23,,Unknown,,,,,,,,
11.0,Nelson Chamisa,Zimbabwean,,ZW2023GH004,Passport,Invalid,🔴 Payment Required,2025-06-29,,Unknown,,,,,,,,
12.0,Lazarus Chakwera,Malawian,,MW2023IJ005,Passport,Valid,🟡 Needs Review,2025-06-19,,Unknown,,,,,,,,
13.0,Joyce Banda,Malawian,,MW2023KL006,Passport,Invalid,🔴 Payment Required,2025-07-06,,Unknown,,,,,,,,
14.0,Ahmed Abdi,Asylum Seeker,REF12345678,,Asylum Permit,Valid,🟡 Needs Review,2025-07-03,,Unknown,,,,,,,,
15.0,Fatima Hussein,Asylum Seeker,REF12345679,,Asylum Permit,Valid,🟡 Needs Review,2025-06-25,,Unknown,,,,,,,,
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 14:55:07,Joyce Banda,Passport,MW2023KL006,Needs Verification,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,South African,,,,Verification Failed,,,2025-07-12 21:11:50,Julius Malema,RSA ID,8103035054084,Error,1981-03-03,,Diabetes,Mpho_Hlalele,Valid
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 14:55:07,Joyce Banda,Passport,MW2023KL006,Needs Verification,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 21:35:49,Joyce Banda,Passport,MW2023KL006,Needs Verification,Estimated age: 30,,,Mpho_Hlalele,Invalid (Invalid format)
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 14:55:07,Joyce Banda,Passport,MW2023KL006,Needs Verification,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,South African,,,,Verification Failed,,,2025-07-12 21:50:41,Joyce Banda,RSA ID,MW2023KL006,Error,2025-07-12,,,Mpho_Hlalele,Invalid (Invalid format)
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 14:55:07,Joyce Banda,Passport,MW2023KL006,Needs Verification,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,Malawian,,,,Pending,,,2025-07-12 22:18:04,Joyce Banda ,RSA ID,MW2023KL006,Needs Verification,2025-07-12,,,Mpho_Hlalele,Invalid (Invalid format)
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 14:55:07,Joyce Banda,Passport,MW2023KL006,Needs Verification,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,Malawian,,,,Pending,,,2025-07-12 22:37:21,Joyce Banda ,RSA ID,MW2023KL006,Needs Verification,Estimated age: 30,,,Mpho_Hlalele,Invalid (Invalid format)
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
,,South African,,,,Pending,,,2025-07-12 14:55:07,Joyce Banda,Passport,MW2023KL006,Needs Verification,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:55:51,Julius Malema,RSA ID,8103035054084,⚠️ Needs Manual Review,,,,,
,,South African,,,,Verification Failed,,,2025-07-13 00:13:28,Joyce Banda ,RSA ID,MW2023KL006,Error,2025-07-13,,,Mpho_Hlalele,Invalid (Invalid format)
,,Zimbabwean,,,,Verification error: [Errno 2] No such file or directory: 'data/mock_home_affairs.csv',,,2025-07-12 14:15:48,Tendai Biti,Passport,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Invalid format),,,2025-07-12 14:27:11,Tendai Biti,RSA ID,ZW2023AB001,⚠️ Needs Manual Review,,,,,
,,South African,,,,Invalid (Not found in records),,,2025-07-12 14:28:11,Lindiwe Sisulu,RSA ID,5904045055083,⚠️ Needs Manual Review,,,,,
